DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6160	P8586	P6218	P8587	P8587S1	P6211	P5455	P1088	P1088S1	P6216	P5457	P5673	P5674	P6223	P1101	P5461	P5461S1	P5461S2	P5461S3	P4693	P6167	P6180	P6180S1	P6180S2	P8610	P8610S1	P8610S2	P6229	P6229S1	P8612	P8612S1	P8612S2	P6238	P8614	P8614S1	P8614S2	P6202	P781	P781S1	P781S2	P782	P783	LLAVEHOG	FEX_C
6000000	1	1	1	1	2		4	6																																						60000001	2246.29287409386
6000000	2	1	2	1	2		3	5																																						60000001	2246.29287409386
6000000	3	1	3	1	2		5	11		1																																				60000001	2246.29287409386
6000000	4	1	4	1	1						4	11		1	1		1	5		1	1	2	3	30	2			2					2				2									60000001	2246.29287409386
6000000	5	1	5	1	1						4	10		2	1		1	4		1	2	2	4	5	1	0	3000	2					2				2				1	2				60000001	2246.29287409386
6000000	6	1	6	2	1						1	1			1		1	1		2	2	2	4	5	1	0	3000	2					2				2				1	2				60000001	2246.29287409386
6000001	1	1	1	1	2	9	7	3	3	5																																				60000011	2866.07522374918
6000001	2	1	2	1	2	4	5	11		1																																				60000011	2866.07522374918
6000002	1	1	1	1	2		3	5																																						60000021	2851.50229401111
6000002	2	1	2	1	2	3	5	11		2																																				60000021	2851.50229401111
6000002	3	1	3	1	1						3	8			1		1	1		2	2	2	4	5	2			2					2				2				4					60000021	2851.50229401111
6000002	4	1	4	1	1						3	7			1		1	1		2	2	2	4	5	2			2					2				2				4					60000021	2851.50229401111
6000003	1	1	1	1	2		4	9																																						60000031	2870.01398177933
6000003	2	1	2	1	2		4	8																																						60000031	2870.01398177933
6000003	3	1	3	1	2	16	5	10		1																															1	2				60000031	2870.01398177933
6000003	4	1	4	1	1						3	7			1		1	2		2	2	2	4	5	2			2					2				2				1	2				60000031	2870.01398177933
6000003	5	1	5	1	1						3	7			1		1	2		2	2	2	4	5	2			2					2				2				1	2				60000031	2870.01398177933
6000003	6	1	6	1	1						2	5			1		1	1		2	2	2	4	5	1	0	2000	2					2				2				1	2				60000031	2870.01398177933
6000005	1	1	1	1	2		3	2																																						60000051	2252.8576889304
6000005	2	1	2	1	2	1	3	5																																						60000051	2252.8576889304
6000005	3	1	3	1	1						8	1	5	1	1		1						3	40	2			2					2				2									60000051	2252.8576889304
6000005	4	1	4	1	1						1	1			1		1	2		2	2	2	4	10	2			2					2				2				1	1				60000051	2252.8576889304
6000006	1	1	1	1	2		1																																							60000061	2090.10329084383
6000006	2	1	2	1	2		4	7																																						60000061	2090.10329084383
6000008	1	1	1	1	2	4	5	11		1																																				60000081	2270.38111641433
6000008	2	1	2	1	2		5	11		1																																				60000081	2270.38111641433
6000008	3	1	3	1	1						3	7			1		1	1		2	2	2	4	5	1	0	2000	2					2				2				1	1				60000081	2270.38111641433
6000008	4	1	4	1	1						2	1			1		1	1		2	2	2	4	5	1	0	2000	2					2				2				1	1				60000081	2270.38111641433
6000008	6	1	6	1	1						2	5			1		1	1		2	2	2	4	5	1	0	2000	2					2				2				1	1				60000081	2270.38111641433
6000009	1	1	1	1	2		4	6																																						60000091	2273.21683985532
6000009	2	1	2	1	2	4	5	11		1																																				60000091	2273.21683985532
6000010	1	1	1	1	2	3	5	11		1																																				60000101	2241.36340541398
6000010	2	1	2	1	2		3	5																																						60000101	2241.36340541398
6000010	3	1	3	1	1						4	11		1	1		1	1		1	2	2	3	20	2			2					2				2				1	2				60000101	2241.36340541398
6000010	4	1	4	1	1						2	3			1		1	1		1	2	2	4	10	1	2000	3000	2					2				2				2		2	52	9	60000101	2241.36340541398
6000011	1	1	1	1	2	2	5	11		1																																				60000111	2206.31376084916
6000011	2	1	2	1	2		5	11		1																																				60000111	2206.31376084916
6000011	3	1	3	1	1						3	9			2	2	1	1		1	1	2	3	45	2			2					2				2				1	2				60000111	2206.31376084916
6000011	4	1	4	1	1						3	6			2	2	1	1		1	1	2	4	15	2			2					2				2				1	2				60000111	2206.31376084916
6000012	1	1	1	1	2		3	5																																						60000121	1848.71475370233
6000013	1	1	1	1	2		3	5																																						60000131	1655.7689079334
6000013	2	1	2	1	2		11	5	5	1																																				60000131	1655.7689079334
6000013	3	1	3	1	1						3	6			2	2	1	1		1	1	1	4	10	2			2					2				2				1	2				60000131	1655.7689079334
6000015	1	1	1	1	2		9	4	4	3																																				60000151	2934.72190999767
6000015	2	1	2	1	2	4	5	11		1																																				60000151	2934.72190999767
